12:22:48,798  INFO DruidDataSource:2029 - {dataSource-0} closing ...
15:55:15,185 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:55:17,285 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:55:18,104 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:55:19,869 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:55:19,917 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:55:19,954 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:56:22,698 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:56:22,779 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:56:22,861 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:59:23,225 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:59:23,277 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:59:23,306 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
16:01:18,294 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
16:01:18,357 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
16:01:18,441 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
16:02:27,983 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
16:02:28,156 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
16:02:28,189 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
16:02:45,726 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
16:02:45,868 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
16:02:46,011 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:58:18,438  INFO LoginCtroller:321 - org.apache.shiro.authc.IncorrectCredentialsException: Submitted credentials for token [org.apache.shiro.authc.UsernamePasswordToken - root, rememberMe=false] did not match the expected credentials.
15:58:30,768  INFO LoginCtroller:321 - org.apache.shiro.authc.IncorrectCredentialsException: Submitted credentials for token [org.apache.shiro.authc.UsernamePasswordToken - root, rememberMe=false] did not match the expected credentials.
15:59:59,613  INFO LoginCtroller:321 - org.apache.shiro.authc.IncorrectCredentialsException: Submitted credentials for token [org.apache.shiro.authc.UsernamePasswordToken - root, rememberMe=false] did not match the expected credentials.
16:02:32,334  INFO LoginCtroller:321 - org.apache.shiro.authc.UnknownAccountException: 用户不存在
16:03:14,266  INFO LoginCtroller:321 - org.apache.shiro.authc.UnknownAccountException: 用户不存在
16:03:15,722  INFO LoginCtroller:321 - org.apache.shiro.authc.UnknownAccountException: 用户不存在
16:03:38,111  INFO LoginCtroller:321 - org.apache.shiro.authc.UnknownAccountException: 用户不存在
16:05:49,841  INFO LoginCtroller:321 - org.apache.shiro.authc.UnknownAccountException: 用户不存在
16:05:50,859  INFO LoginCtroller:321 - org.apache.shiro.authc.UnknownAccountException: 用户不存在
11:25:33,312  INFO LoginCtroller:321 - org.apache.shiro.authc.IncorrectCredentialsException: Submitted credentials for token [org.apache.shiro.authc.UsernamePasswordToken - root, rememberMe=false] did not match the expected credentials.
18:11:50,962  INFO LoginCtroller:321 - org.apache.shiro.authc.IncorrectCredentialsException: Submitted credentials for token [org.apache.shiro.authc.UsernamePasswordToken - root, rememberMe=false] did not match the expected credentials.
16:44:10,048  INFO LoginCtroller:321 - org.apache.shiro.authc.UnknownAccountException: 用户不存在
